node1,node2,weight
276,5200,0.193
276,5205,0.181
276,1884,0.74
276,5837,-0.028
276,949,0.176
276,4912,0.392
276,471,0.296
276,4857,0.216
277,147,0.106
277,234,0.169
277,834,0.256
277,640,0.022
277,195,0.388
277,515,0.173
277,302,0.212
277,303,0.773
277,712,0.29
277,415,0.322
277,320,0.12
277,65,-0.019
277,164,0.067
277,166,0.17
277,490,0.219
277,503,0.06
278,9205,0.545
278,3868,0.125
278,2458,-0.115
278,550,0.231
278,7034,0.278
278,8694,0.506
278,234,0.04
278,7972,0.03
278,231,0.087
278,7137,-0.068
278,3596,0.615
278,5276,0.752
278,3456,0.599
278,7264,0.277
278,4536,-0.453
278,2939,0.545
278,4822,0.47
278,5190,0.554
278,5984,0.259
278,1445,0.097
278,5,0.092
278,2186,-0.064
278,281,-0.091
278,280,0.744
278,9325,0.078
278,8808,0.224
278,815,0.153
278,8964,0.692
278,3581,0.592
278,997,0.351
278,6998,0.615
278,8208,0.051
278,5062,-0.08
278,2641,0.039
278,7642,0.152
278,8248,0.331
278,4032,0.744
278,7026,0.209
278,7357,-0.245
278,3286,0.417
278,1913,-0.374
278,7125,-0.05
278,6712,-0.01
278,5776,0.178
278,6796,0.279
278,4715,0.524
278,2166,0.079
278,7609,0.195
278,7069,0.046
278,1726,0.109
278,7212,0.73
278,4912,0.462
278,7141,0.744
278,910,-0.179
278,4995,-0.195
278,8222,0.036
278,2005,0.136
278,7182,0.367
278,4854,-0.038
278,2484,0.053
278,8855,0.467
278,6034,1
279,8232,0.052
279,6962,-0.058
279,3711,0.273
279,4364,0.197
279,2293,0.744
279,8179,0.406
279,2718,0.356
279,4185,0.592
279,234,0.071
279,7033,0.2425
279,8112,0.13
279,6728,0.3
279,5539,0.283
279,3160,0.381
279,8533,0.252
279,5568,0.487
279,7304,-0.171
279,4065,0.412
279,4904,0.291
279,6042,0.117
279,7983,-0.109
279,7881,0.306
279,166,0.248
279,6069,0.177
279,678,0.359
279,8226,-0.323
279,8039,-0.13
279,4253,0.014
279,8065,-0.513
279,5026,0.295
279,7642,-0.06
279,7026,0.383
279,7789,-0.299
279,7822,0.13
279,6174,0.402
279,1912,0.142
279,5107,-0.027
279,6796,0.124
279,10,0.412
279,8189,0.447
279,5402,0.286
279,7258,-0.01
279,5307,-0.051
279,8204,-1
279,725,0.144
279,3096,0.248
279,4357,0.38
279,2697,0.134
279,297,0.098
279,5916,0.126
279,2066,0.492
279,6232,0.577
2146,526,0.451
9528,9527,0.162
9529,9599,0.474
9529,9607,0.73
9529,7987,-0.003
9259,9258,0.082
9252,8884,-0.54
9250,2186,0.444
9251,7506,-0.097
1370,2711,0.167
1370,5177,0.24
1370,594,0.065
1370,42,0.336
1370,550,0.182
1370,7139,0.367
1370,271,0.168
1370,7389,0.574
1370,3066,0.387
1370,6728,0.756
1370,1913,0.144333333
1370,7247,0.296
1370,5099,0.783
1370,4518,0.293
1370,5352,0.444
1370,4043,0.244
1370,4536,0.105
1370,699,0.232
1370,1854,0.5
1370,1584,0.225
1370,3856,0.162
1370,526,0.537
1370,2072,0.124
1370,2178,0.326
1370,910,0.115
1370,997,0.326
1370,5100,0.259
1370,5386,0.492
1370,4274,0.244
1370,208,0.275
1370,1960,0.574
1370,7351,0.182
1370,260,0.244
1370,5205,0.326
1370,5129,0.115
1370,5896,0.326
1370,7129,0.659
1370,7902,0.293
1370,101,0.434
1370,1880,0.196
1370,3465,0.101
1370,485,0.195
1370,1978,0.266
1370,3243,0.266
1370,7086,0.278
1370,6111,0.554
1370,2076,0.326
1370,929,0.326
1370,4032,0.529
1370,2054,0.12
1370,1006,0.209
1370,5970,0.367
1370,2224,0.011
1212,225,0.226
1212,4020,0.292
1212,5211,0.089
2143,2136,-0.045
2143,1214,0.308
2143,1346,1
2143,2144,0.233
2143,3193,0.24
2143,283,0.162
3519,2797,0.262
3518,2797,0.135
3513,8172,0.298
3513,5397,0.293
3513,2591,0.107
3513,4362,0.296
3513,2293,0.22
3513,8179,0.217
3513,2923,0.11
3513,550,-0.082
3513,9079,0.114
3513,8490,0.436
3513,3006,-0.133
3513,7224,-0.024
3513,6630,0.014
3513,252,0.252
3513,8327,0.058
3513,9326,0.077
3513,1903,0.074
3513,4341,0.364
3513,8133,0.072
3513,2547,0.367
3513,6551,0.082
3513,4699,0.051
3513,9230,-0.024
3513,6666,0.193
3513,4412,0.228
3513,7888,0.112
3513,4382,0.34
3513,7198,0.17
3513,6170,0.268
3513,8651,1
3513,4846,0.099
3513,9325,0.182
3513,6069,0.14
3513,630,0.08
3513,5064,0.303
3513,9062,0.124
3513,5060,0.27
3513,9089,1
3513,5281,0.121
3513,4279,0.018
3513,8810,0.362
3513,8632,0.3
3513,6993,0.278
3513,4620,0.219
3513,9006,0.135
3513,5892,0.755
3513,4032,0.287
3513,7026,0.167
3513,165,-0.039
3513,5286,0.259
3513,9216,-0.134
3513,5774,0.368
3513,8796,0.228
3513,5776,0.09
3513,5402,0.019
3513,5401,0.179
3513,7373,0.439
3513,7370,0.5
3513,6396,0.547
3513,6445,0.293
3513,8485,0.134
3513,721,0.234
3513,5812,0.406
3513,2830,0.194
3517,2797,0.229
3514,2591,0.367
2688,2577,-0.026
2688,2709,0.2
2688,624,0.086
2689,5391,-0.061
2689,7678,0.114
2689,3774,0.191
2689,159,0.035
2689,2718,0.224
2689,5154,0.078
2689,8302,-0.017
2689,4020,0.196
2689,5884,0.197
2689,7014,0.086
2689,7583,0.002
2689,2785,-0.1355
2689,3216,0.081
2689,3799,0.369
2689,1969,0.133
2689,5313,0.206
2689,2529,0.137
2689,5840,0.055
2689,2685,-0.013
2689,6027,0.123
2689,560,-0.19
2689,4798,0.237
2689,550,-0.416
2689,4548,0.293
2689,6525,-0.008
2689,4113,0.121
2689,5539,0.369
2689,3053,0.282
2689,220,0.25
2689,6796,-0.083
2689,1704,0.019
2689,2577,-0.07
2689,6292,-0.174
2689,3015,-0.115
2689,1389,0.025
2689,2258,-0.038
2689,5731,0.151
2689,5804,-0.234
2684,2577,0.3085
2684,2695,0.293
2684,155,0.452
2684,2765,-0.022
2684,2633,0.298
2685,5011,-0.032
2685,4899,0.116
2685,6851,-0.115
2685,5017,0.632
2685,1262,0.609
2685,4182,0.294
2685,3867,0.412
2685,593,0.207
2685,3946,-0.156
2685,4894,0.368
2685,133,0.416
2685,61,0.225
2685,3003,0.487
2685,5528,0.528
2685,5224,0.074
2685,6923,-0.101
2685,2823,-0.133
2685,5988,0.153
2685,5257,0.147
2685,2488,0.242
2685,3028,0.153
2685,4727,0.627
2685,5093,0.138
2685,3347,0.533
2685,5096,0.093
2685,4906,-0.048
2685,180,-0.028
2685,5478,0.75
2685,1675,0.438
2685,5130,0.272
2685,911,0.403
2685,360,0.106
2685,2858,-0.285
2685,3661,0.339
2685,5063,-0.073
2685,903,0.311
2685,560,0.217
2685,441,0.423
2685,2005,-0.031
2685,463,0.265
2685,5154,0.425
2685,6719,-0.208
2685,6090,-0.008
2685,4326,-0.187
2685,5662,0.209
2685,3707,0.191
2685,2213,0.209
2685,5363,0.403
2685,5347,0.326
2685,1812,0.266
2685,5741,0.048
2685,1600,0.272
2685,2577,0.37
2685,4070,0.15
2685,1809,0.116
2685,1622,0.064
2685,2242,-0.01
2685,4483,0.293
2686,14,0.225
2686,2488,0.12
2686,451,-0.168
2686,2492,0.467
2686,791,0.454
2686,1106,0.398
2686,3263,-0.154
2686,2839,0.389
2686,2577,0.524
2686,2806,0.577
2687,2815,0.037
2687,1306,0.182
2687,155,0.172
2687,2591,0.153
2687,159,0.301
2687,2577,0.295
2687,1711,0.19
2687,2633,0.203
2687,1935,0.105
2687,1445,0.338
2687,2646,0.051
2687,1452,0.069
2687,68,0.212
2687,1159,0.312
2687,2945,-0.052
2687,3175,0.168
2687,1881,0.264
2680,624,1
2680,451,-0.079
2680,980,0.52
2680,2719,0.259
2680,2843,0.262
2680,2434,0.223
2680,2808,1
2680,2607,0.319
2680,3149,0.241
2680,2945,0.696
2680,2806,1
2680,1891,0.233
2680,2785,0.535
2680,2488,0.25
2680,3343,0.093
2680,2484,0.4395
2680,3024,1
2680,2529,0.804
2680,172,0.277
2680,2666,-0.123
2680,180,0.577
2680,1460,0.245
2680,309,0.451
2680,202,1
2680,2601,0.633
2680,1232,0.227
2680,2469,0.307
2680,1354,1
2680,3263,0.319
2680,1913,-0.182
2680,3541,0.355
2680,791,1
2680,3243,0.307
2680,2230,0.355
2680,1809,0.3
2680,3442,-0.192
2680,2799,0.15
2680,2577,0.651
2681,1227,0.146
2681,1622,-0.136
2681,1992,-0.306
2681,2709,0.003
2681,2318,0.571
2681,451,0.017
2681,2529,-0.106
2681,2230,0.186
2681,2577,0.112
2682,2323,0.262
2682,2785,0.3
2682,2659,-0.248
2682,1090,0.145
2682,878,0.093
2682,2577,0.273
2682,2598,0.351
2682,1809,0.195
2682,2529,-0.176
2682,918,0.013
2682,4565,-0.087
2682,2230,0.092
2682,3040,-0.175
2682,286,0.206
2683,3207,0.104
2683,2785,0.289
2683,2659,-0.214
2683,155,0.219
2683,1232,0.175
2683,3243,-0.039
2683,2577,0.165
2683,2888,0.194
2683,2529,0.063
2683,2469,0.113
2683,1354,0.183
2683,1106,0.136
2683,3263,-0.018
2683,2230,0.254
2683,2484,0.233
99,1269,0.3
99,662,0.084
99,135,0.22
99,493,0.115
99,1547,0.05
99,26,-0.091
99,27,0.073
99,21,0.234
99,1070,-0.058
99,407,0.291
99,346,0.107
99,4,0.114
99,544,0.245
99,281,-0.063
99,8,0.166
99,283,0.011
99,2408,0.188
99,2012,0.225
99,1094,0.083
99,1091,0.063
99,719,0.218
99,712,0.177
99,1153,0.369
99,673,0.353
99,1492,0.217
99,124,0.295
99,1256,0.277
99,50,0.273
99,53,0.207
99,415,0.25
99,294,0.126
99,2265,0.036
99,821,0.364
99,1382,0.029
99,376,0.136
99,594,0.169
99,195,0.37
99,1122,0.147
99,144,0.126
99,984,0.036
99,275,0.121
99,399,0.135
99,87,0.243
99,2785,0.065
99,2542,0.05
99,834,0.063
99,2666,0.286
99,526,0.071
99,7,0.145
99,1396,0.047
99,425,0.319
99,424,0.012
99,1012,-0.076
99,1404,0.055
99,585,0.057
99,2601,0.101
99,300,0.3475
99,303,0.033
99,384,0.063
99,385,0.163
99,100,0.161
99,1413,0.158
99,908,0.39
99,519,0.041
99,640,0.199
99,1535,0.087
99,1244,0.255
99,434,0.02
99,512,0.092
99,515,0.219
99,430,0.028
99,1349,0.421
99,339,0.209
99,453,0.21
99,455,0.697
99,1229,0.143
99,60,0.013
99,258,0.115
99,65,0.192
99,69,0.069
99,250,0.203
99,255,0.294
99,971,0.03
99,656,0.13
99,1501,0.29
99,1507,0.054
99,1032,0.203
99,547,0.184
99,1213,0.162
99,469,0.128
99,464,0.236
99,467,0.163
99,758,0.098
99,1357,0.353
99,1862,0.225
99,91,0.02
99,166,0.028
99,92,0.296
99,548,0.22
99,162,0.345
99,163,0.12
99,864,0.043
99,722,0.368
99,1451,0.209
99,720,0.033
99,1740,-0.078
99,151,0.03
99,752,0.067
99,1207,0.399
99,361,0.057
99,238,-0.196
99,234,0.106
99,1390,0.037
99,1817,0.184
99,1056,0.03
99,879,0.181
99,1196,0.016
99,322,0.3
99,1110,0.139
99,320,0.156
99,5,0.198
99,1296,0.371
99,562,-0.078
99,1699,0.023
99,797,0.071
99,618,0.264
99,461,0.155
99,611,0.279
99,779,0.042
99,74,0.296
99,487,0.25
99,485,0.101
99,484,0.18
99,483,0.035
99,482,0.065
99,1978,0.408
99,1048,0.086
99,122,0.358
99,474,0.045
99,1361,0.435
99,1763,0.086
99,1570,0.171
98,87,0.59
91,87,0.474
91,585,0.141
91,834,0.144
91,954,0.036
91,483,0.05
91,455,0.19
91,29,0.114
91,656,0.398
91,164,0.145
91,3,0.147
91,548,0.135
91,1363,0.071
91,487,0.066
91,1396,0.248
91,225,0.265
91,515,0.088
91,1401,0.174
91,166,0.144
91,1244,0.426
90,361,0.595
90,87,0.102
90,43,0.152
93,144,0.284
93,87,0.615
93,2,0.247
93,124,0.399
93,164,0.191
93,425,0.419
93,424,0.196
93,2066,0.787
92,151,0.217
92,671,0.313
92,50,0.324
92,407,0.73
92,2,0.104
92,124,0.157
92,294,0.244
92,166,0.31
92,484,0.182
92,425,0.244
92,434,0.266
92,1012,0.066
92,87,0.131
95,151,0.167
95,111,0.138
95,225,0.174
95,954,0.214
95,978,-0.13
95,346,0.244
95,2,0.115
95,7,0.12
95,8,0.286
95,562,0.101
95,87,0.257
95,302,-0.13
95,461,-0.066
95,671,0.672
95,124,0.649
95,385,0.211
95,265,0.348
95,485,0.398
95,294,0.118
95,162,0.258
95,50,0.254
95,1244,0.209
95,434,0.321
94,1230,0.244
94,2844,0.5
94,1229,0.375
94,1535,0.008
94,385,0.592
94,281,0.106
94,2166,0.074
94,87,0.452
97,1349,0.383
97,875,0.599
97,2906,0.342
97,602,-0.217
97,2529,-0.076
97,1122,0.183
97,2843,0.225
97,1229,0.148
97,144,0.31
97,258,0.038
97,1358,0.11
97,1720,0.162
97,1870,0.123
97,1909,0.034
97,2198,0.003
97,894,-0.068
97,1857,-0.028
97,53,0.697
97,2136,0.102
97,1547,0.073
97,2085,0.216
97,1589,0.545
97,1836,0.429
97,3237,0.119
97,2488,0.311
97,2484,-0.152
97,3024,0.196
97,42,0.145
97,2483,-0.177
97,979,0.176
97,1891,0.257
97,1256,0.697
97,525,0.016
97,5,0.156
97,1472,-0.173
97,2166,0.176
97,6,0.129
97,1032,-0.144
97,188,0.697
97,1244,0.476
97,1699,-0.022
97,87,0.427
97,2606,0.213
97,202,0.06
97,2600,0.144
97,2601,0.089
97,1214,-0.076
97,2603,0.076
97,300,-0.118
97,1305,0.142
97,400,0.089
97,779,0.167
97,1354,0.204
97,618,0.43
97,281,0.141
97,122,0.4125
97,1584,-0.54
97,2893,-0.125
97,2839,0.145
97,3077,0.11
97,1929,0.355
97,129,0.019
97,1913,0.03
97,1912,0.21
97,69,0.141
97,1622,0.096
97,967,0.23
97,485,0.296
97,1726,-0.048
97,2230,0.282
97,2492,0.103
97,2048,0.144
97,3033,0.057
97,1418,-0.034
97,455,0.697
97,4560,-0.017
97,1451,0.42
97,231,0.0815
97,2265,0.12
97,1382,0.343
97,376,-0.018
96,151,0.196
96,1349,0.425
96,1269,0.183
96,594,0.139
96,303,0.027
96,1213,0.067
96,195,0.108
96,1782,0.395
96,453,0.2055
96,662,0.133
96,485,0.116
96,26,0.199
96,2194,0.086
96,1486,0.157
96,234,0.03
96,69,0.14
96,87,0.155
96,166,0.046
96,493,0.225
96,797,0.095
96,2542,0.031
96,2541,0.356
96,1413,0.193
96,21,0.194
96,971,0.228
96,879,0.088
96,1390,0.167
96,872,0.055
96,320,0.051
96,322,0.19
96,526,0.255
96,732,0.266
96,5,0.016
96,1507,0.073
96,544,0.05
96,281,0.145
96,1396,0.278
96,425,0.205
96,424,0.126
96,2012,0.195
96,1094,0.349
96,752,0.129
96,144,0.213
96,310,0.213
96,1313,0.318
96,719,0.144
96,1774,0.07
96,464,0.104
96,125,0.114
96,758,0.077
96,671,0.114
96,854,0.035
96,385,0.433
96,164,0.065
96,1499,0.043
96,100,0.148
96,95,0.39
96,1047,0.185
96,104,0.116
96,2,0.028
96,1501,0.163
96,1547,0.174
96,455,0.065
96,1359,0.198
96,908,0.194
96,949,0.531
96,50,0.077
96,110,0.247
96,1535,0.184
96,645,-0.069
96,1451,0.045
96,162,0.16
96,274,0.314
96,2265,0.142
96,515,0.236
96,656,0.603
1376,485,0.351
1177,978,0.844
1176,978,0.249
1175,978,0.239
1174,978,0.594
1173,978,0.22
1172,978,0.792
1171,978,0.167
1170,978,0.2
1179,4921,-0.099
1179,2488,-0.327
1179,5427,0.086
1179,3491,-0.112
1179,258,-0.117
1179,3415,-0.088
1179,1487,-0.095
1179,3003,-0.001
1179,80,0.042
1179,978,-0.019
1179,286,-0.073
1178,429,0.502
1178,8619,0.351
1178,978,0.358
7188,3774,0.361
7188,8607,0.113
7188,7875,0.4815
7188,279,0.411
7188,5338,0.516
7188,7119,0.636
7188,5568,0.572
7188,5352,0.453
7188,7322,0.207
7188,4534,0.382
7188,7732,0.337
7188,636,0.378
7188,10,0.553
7188,5281,0.254
7188,8153,0.211
7188,7192,0.242
7188,7822,0.428
7188,5539,0.54
7188,7273,0.528
7188,1040,0.655
7188,2142,0.469
7188,7421,0.394
7189,636,0.173
7189,2917,-0.08
7189,7258,0.113
7189,2142,0.476
7189,7129,-0.145
7189,129,0.04
7189,5539,0.074
7189,6069,0.214
3431,2166,0.252
3431,286,0.597
7180,717,0.2
7180,7497,0.082
7181,717,0.367
7181,7161,0.272
7181,5933,0.244
7181,7310,0.293
7182,717,0.238
7182,8198,0.043
7183,6962,-0.133
7183,8157,-0.087
7183,8039,0.355
7183,3824,0.787
7183,8112,-0.026
7183,6082,0.592
7183,7639,0.252
7183,4679,0.425
7183,7328,0.335
7183,7881,0.097
7183,5806,0.369
7183,4185,0.645
7183,2917,0.492
7183,717,0.554
7183,8259,-0.315
7183,7624,0.592
7183,8533,0.371
7183,4357,0.307
7183,6956,0.594
7183,2238,0.42
7183,1026,0.291
7183,5222,0.506
7183,7258,0.208
7183,1439,0.554
7183,2757,0.744
7183,2673,0.492
7183,7408,0.238
7183,6232,0.744
7183,868,0.388
7184,717,0.354
7185,318,0.474
7185,3386,0.319
7185,6004,0.519
7185,7639,0.651
7185,6666,0.51
7185,6008,0.481
7185,3792,0.516
7185,6220,0.145
7185,5780,0.016
7185,3096,0.143
7185,8149,0.383
7185,717,0.244
7185,7642,0.235
7185,1493,0.714
7185,8694,0.129
7185,2089,0.119
7185,7609,0.623
7185,5082,0.25
7185,2068,0.186
7185,2757,0.495
7185,2673,0.316
7185,8707,0.592
7186,717,0.592
7186,1026,0.592
7186,1620,0.333
7186,7033,-0.02
7187,717,0.6
7187,7624,1
1227,2659,-0.241
1227,27,0.623
1227,1159,0.623
1227,879,0.451
1227,875,0.623
1227,1306,0.623
1227,1445,0.452
1227,821,0.408
875,211,0.388
875,1781,0.06
875,1308,0.062
875,1194,-0.07
875,3417,0.02
875,1774,0.031
875,27,0.272
